mu1,mu2,mu3
0.774083,-0.965453,9.507482
0.600661,-4.291484,5.830290
-2.148142,8.956601,10.365642
-2.229734,0.686060,-0.725961
-0.848319,4.233182,3.036676
4.157525,2.546165,-0.659717
0.638302,-1.595417,12.930080
4.986061,6.483351,-3.723414
6.418881,11.112458,-5.917397
2.689709,-3.383883,16.627016
6.600040,2.067661,-5.823967
-0.015905,1.040889,2.510917
0.450839,-1.032243,0.192761
2.657645,-1.917198,2.026508
0.903779,-4.581902,5.711151
4.037820,6.679467,4.498548
5.115412,2.343564,-9.616610
0.785208,-5.388537,20.697404
2.000010,9.715311,-0.318137
0.896270,5.636148,-10.907057
-2.140902,8.677408,-8.634328
-1.381566,6.231588,36.610172
-0.049012,10.548600,-0.633642
0.137030,-0.831216,11.205668
3.753350,15.198355,8.446971
2.613886,1.760275,11.648224
2.668917,5.918421,7.356700
0.581415,-2.375273,9.198077
0.230394,-1.670756,5.739957
3.087738,7.675091,-6.576760
3.229684,9.920368,2.078774
0.811762,8.873138,7.464834
-2.613051,5.024033,1.113436
-1.755687,0.344544,22.634090
-0.176099,6.806915,12.688770
0.795660,4.294108,-1.247319
-1.217755,6.430602,-5.694420
1.751192,-2.246828,5.668539
-0.339124,4.530652,-3.899612
-0.434413,-1.079496,12.298854
2.308035,-3.158816,7.190552
0.832914,6.481205,10.531514
1.098525,2.169511,5.828766
0.925014,3.251419,-2.218732
2.659224,7.403299,2.299038
2.719123,-7.567519,4.351254
-1.004508,4.933542,5.616889
4.094910,0.693361,13.776327
6.036400,3.597249,-6.967390
-0.565768,9.099134,-17.670321
2.883634,6.853743,-3.170859
2.553870,6.865561,7.917219
-2.363078,6.216057,-0.754075
-0.982514,-4.130890,4.663891
2.597432,-2.109087,-2.616671
-1.771014,5.093304,11.912441
0.267904,3.028558,4.906340
2.542842,6.157528,1.846680
-0.220610,5.279452,3.767086
2.406382,-4.610905,-3.171231
-0.180512,1.693415,-10.221411
5.244469,4.177681,2.820356
-0.498824,-0.758535,-8.225623
2.816522,-5.092540,14.144271
4.270831,7.240450,-4.947429
0.195272,-4.648065,14.568137
4.152483,0.046713,4.652076
1.700723,8.989576,3.850493
-0.946170,6.947087,13.048446
2.242845,-5.162652,3.053706
-1.232090,3.690379,-0.552329
0.632851,-1.596741,16.549532
2.527533,1.876903,16.151696
3.172470,1.816022,17.183232
7.525229,-0.795856,18.020751
0.369524,6.596565,1.105479
5.558447,-0.283249,-4.184329
1.525326,-0.540852,-1.484200
-0.117029,11.201223,-11.048724
0.706263,7.526930,-9.506177
2.581788,-1.497479,-7.385911
-0.892628,6.940702,-10.721653
1.681491,5.988838,-4.018704
0.969596,5.520387,6.271644
0.023369,3.875949,-5.344104
3.593915,4.758917,12.920924
4.428295,-2.264030,16.154751
-0.546186,9.185100,2.287449
1.732980,5.477941,8.626045
0.573920,11.764700,-0.795338
-0.749581,0.376917,-5.209006
-1.573184,1.477058,-0.672261
3.862049,3.127546,3.851383
3.646272,-2.723754,0.113268
1.871041,1.476840,22.067193
0.898503,0.173477,-2.489163
0.301746,1.253389,1.031852
-0.470541,17.533137,17.571767
1.137577,16.798701,18.545562
-3.284747,1.226687,3.605774
-4.222360,3.038015,12.674313
3.931321,-2.107918,15.887285
-1.337142,2.231122,7.461495
2.450364,8.239987,22.558288
1.906263,4.456256,8.747157
3.876055,0.415750,9.483021
3.607996,1.083377,11.374420
2.624871,-1.182818,-1.275745
3.810503,-0.470045,-0.220037
1.706639,-4.373336,10.560573
-1.577665,6.086911,-8.249739
0.118953,6.505353,16.929686
-2.684568,3.434156,2.489925
0.359290,7.485224,-10.212554
2.579141,3.899239,8.953759
-1.040436,4.231993,-8.202550
3.037432,0.136870,-4.374847
0.252192,0.173147,4.194052
-2.495871,-1.415236,0.989549
0.215388,8.191001,8.846108
-1.897711,3.369750,6.977924
1.185119,5.617668,1.849605
1.893728,5.113907,0.138764
-1.202933,2.952728,8.184868
0.984142,8.294680,23.228016
2.782056,0.058345,-4.062686
1.737894,0.003432,14.276741
0.107885,2.781247,-8.201739
6.952521,-7.649938,19.721546
1.321108,-6.207396,12.447848
1.827818,5.058602,-2.216346
-0.248244,4.536029,9.045992
1.738040,-3.624069,28.984151
-0.984761,5.276463,-5.444080
2.459525,2.277973,17.514475
0.586733,4.726527,8.202259
-1.627935,2.271324,23.793024
0.844248,3.417184,-1.696533
1.019259,-10.430159,5.714653
-3.624387,1.043663,15.850815
-2.368823,8.616382,-11.709125
-1.636428,1.047541,4.954109
-0.721572,6.796247,9.972775
0.039442,1.769349,-3.278737
0.857970,11.429244,8.051274
4.599171,3.232641,5.578849
-1.947076,7.172780,-0.466906
-0.342614,3.937605,-3.075687
0.601099,7.299080,-0.021842
0.752182,0.161194,-4.910398
6.041134,0.681384,27.020320
-0.966614,2.770676,21.382716
1.800855,5.419565,-7.570673
3.452092,4.263589,-4.384351
3.680516,-2.414020,20.535786
-1.421776,5.766391,14.760427
3.546290,5.983496,6.772392
-0.031607,2.506731,0.077973
5.406049,3.418722,-0.495255
1.929778,3.379298,7.147046
5.852905,-0.182622,2.065458
